"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"POPULARITY";"PROD_ID";"SPICEPREFIX";
"BATTERY";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"BUZZER";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"C1";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C2";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C3";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C4";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C5";"33pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C6";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C7";"33pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C8";"NC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C9";"NC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C10";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C11";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C12";"0R";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C13";"NC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C14";"NC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C15";"1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C16";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C17";"100uF";"CPOL-USA/3216-18W";"A/3216-18W";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"1";"";"C";
"C18";"100uF";"CPOL-USA/3216-18W";"A/3216-18W";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"1";"";"C";
"C19";"22pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C20";"22pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C21";"22pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C22";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C23";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C24";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C25";"33pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C26";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C27";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C28";"1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C29";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C30";"47pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C31";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C32";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C33";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
